,dt,dt_period,open,close,high,low,vol,turnover,m1,m2,macd_buy_signal,macd_sell_signal,jw,jw_buy_signal,jw_sell_signal,R6,duanxian,duanxian_buy_signal,duanxian_sell_signal,xcci,dcci,long_start,long_end,short_start,short_end,long_buy,long_sell,short_buy,short_sell,profit_rate
239,2022-06-22 09:31:00-04:00,20220622093100,22.474,23.054,24.204,21.534,194486848,4757839872.0,-6.07,-1.772,False,False,1.7875826496450387,False,False,-31.200952254386962,-0.095235144767841,False,True,-128.89235022403508,-97.98081163487967,False,False,False,False,0,0,0,0,0.0
240,2022-06-23 09:31:00-04:00,20220623093100,23.704,24.094,24.334,22.754,182686416,4543996928.0,-6.067,-1.654,False,False,2.6735905436411542,False,False,-30.3447677050454,0.8561845493415632,True,False,-123.95905689282965,-90.27842908737556,False,False,False,False,0,0,0,0,0.0
241,2022-06-24 09:31:00-04:00,20220624093100,24.876,26.744,26.784,24.654,151817456,4092989952.0,-6.024,-1.402,False,False,5.239554726810034,True,False,-27.286015115055818,3.058752589989581,True,False,-112.39193243014576,-69.25716643898917,False,False,False,True,0,0,0,1,0.0
242,2022-06-27 09:31:00-04:00,20220627093100,27.114,26.084,27.624,25.764,169130992,4666907136.0,-5.987,-1.223,False,False,7.952282072562596,False,False,-22.821286581690373,4.464728533365445,True,False,-109.2101990600772,-64.04578485624135,False,False,False,False,0,0,0,0,0.0
243,2022-06-28 09:31:00-04:00,20220628093100,26.224,23.594,26.939,23.494,188120384,4916017152.0,-5.982,-1.196,False,False,8.727631649215219,False,False,-20.296719566931216,2.524567014759157,True,False,-115.74485502099861,-79.9316580490077,False,False,False,False,0,0,0,0,0.0
244,2022-06-29 09:31:00-04:00,20220629093100,23.544,23.644,24.029,22.899,190091088,4712625152.0,-5.971,-1.157,False,False,9.504925215483077,False,False,-18.671200034457257,1.6255195324739589,True,False,-119.2911461123231,-90.40142814810694,False,False,True,False,0,0,1,0,-0.053290475384875725
245,2022-06-30 09:31:00-04:00,20220630093100,22.824,22.764,23.62,21.524,256203936,6093749760.0,-5.968,-1.157,False,False,9.47212687326951,False,False,-18.50232747120674,0.1688725632505168,True,False,-121.55655154187038,-98.54578888061859,False,False,False,False,0,0,0,0,0.0
246,2022-07-01 09:31:00-04:00,20220701093100,22.364,23.154,23.234,21.893,208600384,4949049856.0,-5.955,-1.122,False,False,9.8054016408201,False,False,-18.541245521025672,-0.03891804981893188,False,True,-119.35808985754318,-96.01566744414734,False,False,False,False,0,0,0,0,0.0
247,2022-07-05 09:31:00-04:00,20220705093100,22.174,24.414,24.584,21.783,220553984,5364022272.0,-5.921,-1.015,False,False,11.294283123643588,False,False,-17.453438150308273,1.0878073707173996,True,False,-114.13071193214951,-84.96355247573935,False,False,False,False,0,0,0,0,0.0
248,2022-07-06 09:31:00-04:00,20220706093100,24.534,24.904,25.479,23.894,206122880,5333782528.0,-5.878,-0.893,False,False,13.075836778976182,False,False,-15.594638006983303,1.8588001433249701,True,False,-107.66068537386334,-69.6738602789582,False,False,False,True,0,0,0,1,0.0
